problem,duplication,ordering,genome_size,mutation_rate,seed,evaluations
decode,accumulate,dag,5000,0.002,901,126599
decode,accumulate,dag,5000,0.002,902,220621
decode,accumulate,dag,5000,0.002,903,149881
decode,accumulate,dag,5000,0.002,904,145143
decode,accumulate,dag,5000,0.002,905,70382
decode,accumulate,dag,5000,0.002,906,192194
decode,accumulate,dag,5000,0.002,907,84508
decode,accumulate,dag,5000,0.002,908,155216
decode,accumulate,dag,5000,0.002,909,58871
decode,accumulate,dag,5000,0.002,910,112428
decode,accumulate,dag,5000,0.002,911,84373
decode,accumulate,dag,5000,0.002,912,144587
decode,accumulate,dag,5000,0.002,913,192456
decode,accumulate,dag,5000,0.002,914,103847
decode,accumulate,dag,5000,0.002,915,261439
decode,accumulate,dag,5000,0.002,916,144981
decode,accumulate,dag,5000,0.002,917,133593
decode,accumulate,dag,5000,0.002,918,196458
decode,accumulate,dag,5000,0.002,919,102687
decode,accumulate,dag,5000,0.002,920,162500
decode,accumulate,dag,5000,0.002,921,177674
decode,accumulate,dag,5000,0.002,922,149576
decode,accumulate,dag,5000,0.002,923,218704
decode,accumulate,dag,5000,0.002,924,144076
decode,accumulate,dag,5000,0.002,925,92122
decode,accumulate,dag,5000,0.002,926,101334
decode,accumulate,dag,5000,0.002,927,109228
decode,accumulate,dag,5000,0.002,928,168360
decode,accumulate,dag,5000,0.002,929,152500
decode,accumulate,dag,5000,0.002,930,101361
decode,accumulate,dag,5000,0.002,931,220519
decode,accumulate,dag,5000,0.002,932,116706
decode,accumulate,dag,5000,0.002,933,130299
decode,accumulate,dag,5000,0.002,934,127200
decode,accumulate,dag,5000,0.002,935,136700
decode,accumulate,dag,5000,0.002,936,105961
decode,accumulate,dag,5000,0.002,937,82657
decode,accumulate,dag,5000,0.002,938,132783
decode,accumulate,dag,5000,0.002,939,70475
decode,accumulate,dag,5000,0.002,940,91325
decode,accumulate,dag,5000,0.002,941,146778
decode,accumulate,dag,5000,0.002,942,123301
decode,accumulate,dag,5000,0.002,943,135012
decode,accumulate,dag,5000,0.002,944,146734
decode,accumulate,dag,5000,0.002,945,92367
decode,accumulate,dag,5000,0.002,946,124030
decode,accumulate,dag,5000,0.002,947,87537
decode,accumulate,dag,5000,0.002,948,167848
decode,accumulate,dag,5000,0.002,949,136106
decode,accumulate,dag,5000,0.002,950,87944
decode,accumulate,normal,1000,0.002,901,148382
decode,accumulate,normal,1000,0.002,902,76976
decode,accumulate,normal,1000,0.002,903,92715
decode,accumulate,normal,1000,0.002,904,63705
decode,accumulate,normal,1000,0.002,905,80014
decode,accumulate,normal,1000,0.002,906,37641
decode,accumulate,normal,1000,0.002,907,107663
decode,accumulate,normal,1000,0.002,908,89628
decode,accumulate,normal,1000,0.002,909,59354
decode,accumulate,normal,1000,0.002,910,40047
decode,accumulate,normal,1000,0.002,911,55949
decode,accumulate,normal,1000,0.002,912,139058
decode,accumulate,normal,1000,0.002,913,27021
decode,accumulate,normal,1000,0.002,914,61760
decode,accumulate,normal,1000,0.002,915,50879
decode,accumulate,normal,1000,0.002,916,54849
decode,accumulate,normal,1000,0.002,917,96888
decode,accumulate,normal,1000,0.002,918,109831
decode,accumulate,normal,1000,0.002,919,62733
decode,accumulate,normal,1000,0.002,920,62817
decode,accumulate,normal,1000,0.002,921,58289
decode,accumulate,normal,1000,0.002,922,27116
decode,accumulate,normal,1000,0.002,923,105894
decode,accumulate,normal,1000,0.002,924,77468
decode,accumulate,normal,1000,0.002,925,75592
decode,accumulate,normal,1000,0.002,926,56760
decode,accumulate,normal,1000,0.002,927,62868
decode,accumulate,normal,1000,0.002,928,122618
decode,accumulate,normal,1000,0.002,929,73109
decode,accumulate,normal,1000,0.002,930,77146
decode,accumulate,normal,1000,0.002,931,108865
decode,accumulate,normal,1000,0.002,932,72263
decode,accumulate,normal,1000,0.002,933,50017
decode,accumulate,normal,1000,0.002,934,86212
decode,accumulate,normal,1000,0.002,935,67975
decode,accumulate,normal,1000,0.002,936,50519
decode,accumulate,normal,1000,0.002,937,68660
decode,accumulate,normal,1000,0.002,938,58494
decode,accumulate,normal,1000,0.002,939,63239
decode,accumulate,normal,1000,0.002,940,72215
decode,accumulate,normal,1000,0.002,941,40844
decode,accumulate,normal,1000,0.002,942,47251
decode,accumulate,normal,1000,0.002,943,72229
decode,accumulate,normal,1000,0.002,944,69090
decode,accumulate,normal,1000,0.002,945,57494
decode,accumulate,normal,1000,0.002,946,80111
decode,accumulate,normal,1000,0.002,947,66806
decode,accumulate,normal,1000,0.002,948,191209
decode,accumulate,normal,1000,0.002,949,64203
decode,accumulate,normal,1000,0.002,950,43037
decode,accumulate,reorder,2000,0.002,901,69626
decode,accumulate,reorder,2000,0.002,902,112509
decode,accumulate,reorder,2000,0.002,903,131066
decode,accumulate,reorder,2000,0.002,904,133900
decode,accumulate,reorder,2000,0.002,905,68342
decode,accumulate,reorder,2000,0.002,906,82459
decode,accumulate,reorder,2000,0.002,907,67397
decode,accumulate,reorder,2000,0.002,908,67189
decode,accumulate,reorder,2000,0.002,909,122426
decode,accumulate,reorder,2000,0.002,910,112129
decode,accumulate,reorder,2000,0.002,911,67826
decode,accumulate,reorder,2000,0.002,912,47140
decode,accumulate,reorder,2000,0.002,913,55140
decode,accumulate,reorder,2000,0.002,914,77605
decode,accumulate,reorder,2000,0.002,915,73420
decode,accumulate,reorder,2000,0.002,916,52959
decode,accumulate,reorder,2000,0.002,917,73155
decode,accumulate,reorder,2000,0.002,918,94568
decode,accumulate,reorder,2000,0.002,919,73990
decode,accumulate,reorder,2000,0.002,920,89901
decode,accumulate,reorder,2000,0.002,921,36548
decode,accumulate,reorder,2000,0.002,922,89022
decode,accumulate,reorder,2000,0.002,923,56925
decode,accumulate,reorder,2000,0.002,924,49906
decode,accumulate,reorder,2000,0.002,925,72497
decode,accumulate,reorder,2000,0.002,926,72827
decode,accumulate,reorder,2000,0.002,927,159871
decode,accumulate,reorder,2000,0.002,928,89160
decode,accumulate,reorder,2000,0.002,929,28296
decode,accumulate,reorder,2000,0.002,930,176187
decode,accumulate,reorder,2000,0.002,931,72792
decode,accumulate,reorder,2000,0.002,932,74789
decode,accumulate,reorder,2000,0.002,933,145142
decode,accumulate,reorder,2000,0.002,934,53795
decode,accumulate,reorder,2000,0.002,935,45883
decode,accumulate,reorder,2000,0.002,936,40052
decode,accumulate,reorder,2000,0.002,937,135377
decode,accumulate,reorder,2000,0.002,938,53316
decode,accumulate,reorder,2000,0.002,939,54887
decode,accumulate,reorder,2000,0.002,940,122546
decode,accumulate,reorder,2000,0.002,941,83353
decode,accumulate,reorder,2000,0.002,942,75666
decode,accumulate,reorder,2000,0.002,943,71998
decode,accumulate,reorder,2000,0.002,944,67550
decode,accumulate,reorder,2000,0.002,945,68065
decode,accumulate,reorder,2000,0.002,946,144263
decode,accumulate,reorder,2000,0.002,947,44895
decode,accumulate,reorder,2000,0.002,948,135947
decode,accumulate,reorder,2000,0.002,949,108289
decode,accumulate,reorder,2000,0.002,950,27106
decode,single,dag,500,1,901,284387
decode,single,dag,500,1,902,216222
decode,single,dag,500,1,903,139664
decode,single,dag,500,1,904,161895
decode,single,dag,500,1,905,189586
decode,single,dag,500,1,906,132286
decode,single,dag,500,1,907,199906
decode,single,dag,500,1,908,128007
decode,single,dag,500,1,909,154760
decode,single,dag,500,1,910,260251
decode,single,dag,500,1,911,274647
decode,single,dag,500,1,912,98930
decode,single,dag,500,1,913,114249
decode,single,dag,500,1,914,80046
decode,single,dag,500,1,915,161655
decode,single,dag,500,1,916,140833
decode,single,dag,500,1,917,95184
decode,single,dag,500,1,918,210200
decode,single,dag,500,1,919,257770
decode,single,dag,500,1,920,108084
decode,single,dag,500,1,921,255228
decode,single,dag,500,1,922,219747
decode,single,dag,500,1,923,179798
decode,single,dag,500,1,924,158115
decode,single,dag,500,1,925,297024
decode,single,dag,500,1,926,159738
decode,single,dag,500,1,927,141354
decode,single,dag,500,1,928,156761
decode,single,dag,500,1,929,93850
decode,single,dag,500,1,930,139277
decode,single,dag,500,1,931,219202
decode,single,dag,500,1,932,77999
decode,single,dag,500,1,933,163743
decode,single,dag,500,1,934,271418
decode,single,dag,500,1,935,175389
decode,single,dag,500,1,936,108095
decode,single,dag,500,1,937,186656
decode,single,dag,500,1,938,120090
decode,single,dag,500,1,939,177969
decode,single,dag,500,1,940,200166
decode,single,dag,500,1,941,129682
decode,single,dag,500,1,942,135064
decode,single,dag,500,1,943,239718
decode,single,dag,500,1,944,178957
decode,single,dag,500,1,945,144942
decode,single,dag,500,1,946,244000
decode,single,dag,500,1,947,179181
decode,single,dag,500,1,948,121421
decode,single,dag,500,1,949,140076
decode,single,dag,500,1,950,58328
decode,single,normal,1000,1,901,99954
decode,single,normal,1000,1,902,48470
decode,single,normal,1000,1,903,68829
decode,single,normal,1000,1,904,104130
decode,single,normal,1000,1,905,102714
decode,single,normal,1000,1,906,51717
decode,single,normal,1000,1,907,54485
decode,single,normal,1000,1,908,98261
decode,single,normal,1000,1,909,87860
decode,single,normal,1000,1,910,74394
decode,single,normal,1000,1,911,57904
decode,single,normal,1000,1,912,62121
decode,single,normal,1000,1,913,62263
decode,single,normal,1000,1,914,31976
decode,single,normal,1000,1,915,70558
decode,single,normal,1000,1,916,82563
decode,single,normal,1000,1,917,93724
decode,single,normal,1000,1,918,157435
decode,single,normal,1000,1,919,67163
decode,single,normal,1000,1,920,35976
decode,single,normal,1000,1,921,78340
decode,single,normal,1000,1,922,40292
decode,single,normal,1000,1,923,32730
decode,single,normal,1000,1,924,51491
decode,single,normal,1000,1,925,43715
decode,single,normal,1000,1,926,53972
decode,single,normal,1000,1,927,136534
decode,single,normal,1000,1,928,45490
decode,single,normal,1000,1,929,58644
decode,single,normal,1000,1,930,92766
decode,single,normal,1000,1,931,92229
decode,single,normal,1000,1,932,62435
decode,single,normal,1000,1,933,70567
decode,single,normal,1000,1,934,70174
decode,single,normal,1000,1,935,89794
decode,single,normal,1000,1,936,45066
decode,single,normal,1000,1,937,77152
decode,single,normal,1000,1,938,117763
decode,single,normal,1000,1,939,71263
decode,single,normal,1000,1,940,76054
decode,single,normal,1000,1,941,68809
decode,single,normal,1000,1,942,42804
decode,single,normal,1000,1,943,58102
decode,single,normal,1000,1,944,64024
decode,single,normal,1000,1,945,67156
decode,single,normal,1000,1,946,73318
decode,single,normal,1000,1,947,73313
decode,single,normal,1000,1,948,72185
decode,single,normal,1000,1,949,64013
decode,single,normal,1000,1,950,46616
decode,single,reorder,500,1,901,93809
decode,single,reorder,500,1,902,165510
decode,single,reorder,500,1,903,71560
decode,single,reorder,500,1,904,80311
decode,single,reorder,500,1,905,64839
decode,single,reorder,500,1,906,47239
decode,single,reorder,500,1,907,54956
decode,single,reorder,500,1,908,63183
decode,single,reorder,500,1,909,80706
decode,single,reorder,500,1,910,83825
decode,single,reorder,500,1,911,75728
decode,single,reorder,500,1,912,55709
decode,single,reorder,500,1,913,58782
decode,single,reorder,500,1,914,65057
decode,single,reorder,500,1,915,54066
decode,single,reorder,500,1,916,54576
decode,single,reorder,500,1,917,27303
decode,single,reorder,500,1,918,51102
decode,single,reorder,500,1,919,110480
decode,single,reorder,500,1,920,131847
decode,single,reorder,500,1,921,45245
decode,single,reorder,500,1,922,55222
decode,single,reorder,500,1,923,145092
decode,single,reorder,500,1,924,38124
decode,single,reorder,500,1,925,64064
decode,single,reorder,500,1,926,50121
decode,single,reorder,500,1,927,62197
decode,single,reorder,500,1,928,67410
decode,single,reorder,500,1,929,37096
decode,single,reorder,500,1,930,68610
decode,single,reorder,500,1,931,67133
decode,single,reorder,500,1,932,55569
decode,single,reorder,500,1,933,63398
decode,single,reorder,500,1,934,34204
decode,single,reorder,500,1,935,120327
decode,single,reorder,500,1,936,35699
decode,single,reorder,500,1,937,69891
decode,single,reorder,500,1,938,79529
decode,single,reorder,500,1,939,55628
decode,single,reorder,500,1,940,85016
decode,single,reorder,500,1,941,48382
decode,single,reorder,500,1,942,43949
decode,single,reorder,500,1,943,125250
decode,single,reorder,500,1,944,55971
decode,single,reorder,500,1,945,71876
decode,single,reorder,500,1,946,42008
decode,single,reorder,500,1,947,142125
decode,single,reorder,500,1,948,52416
decode,single,reorder,500,1,949,73985
decode,single,reorder,500,1,950,82276
decode,skip,dag,10000,0.001,901,143983
decode,skip,dag,10000,0.001,902,135198
decode,skip,dag,10000,0.001,903,169472
decode,skip,dag,10000,0.001,904,154416
decode,skip,dag,10000,0.001,905,196602
decode,skip,dag,10000,0.001,906,152718
decode,skip,dag,10000,0.001,907,111316
decode,skip,dag,10000,0.001,908,152829
decode,skip,dag,10000,0.001,909,71405
decode,skip,dag,10000,0.001,910,91025
decode,skip,dag,10000,0.001,911,162052
decode,skip,dag,10000,0.001,912,130444
decode,skip,dag,10000,0.001,913,164431
decode,skip,dag,10000,0.001,914,100433
decode,skip,dag,10000,0.001,915,138124
decode,skip,dag,10000,0.001,916,111592
decode,skip,dag,10000,0.001,917,112266
decode,skip,dag,10000,0.001,918,105624
decode,skip,dag,10000,0.001,919,35168
decode,skip,dag,10000,0.001,920,73226
decode,skip,dag,10000,0.001,921,165934
decode,skip,dag,10000,0.001,922,111374
decode,skip,dag,10000,0.001,923,171377
decode,skip,dag,10000,0.001,924,106705
decode,skip,dag,10000,0.001,925,61384
decode,skip,dag,10000,0.001,926,139787
decode,skip,dag,10000,0.001,927,226647
decode,skip,dag,10000,0.001,928,139238
decode,skip,dag,10000,0.001,929,240139
decode,skip,dag,10000,0.001,930,178661
decode,skip,dag,10000,0.001,931,151244
decode,skip,dag,10000,0.001,932,157562
decode,skip,dag,10000,0.001,933,76721
decode,skip,dag,10000,0.001,934,167457
decode,skip,dag,10000,0.001,935,107768
decode,skip,dag,10000,0.001,936,126356
decode,skip,dag,10000,0.001,937,129403
decode,skip,dag,10000,0.001,938,116970
decode,skip,dag,10000,0.001,939,138321
decode,skip,dag,10000,0.001,940,138749
decode,skip,dag,10000,0.001,941,71944
decode,skip,dag,10000,0.001,942,79778
decode,skip,dag,10000,0.001,943,58977
decode,skip,dag,10000,0.001,944,75723
decode,skip,dag,10000,0.001,945,270116
decode,skip,dag,10000,0.001,946,72283
decode,skip,dag,10000,0.001,947,103188
decode,skip,dag,10000,0.001,948,136216
decode,skip,dag,10000,0.001,949,172294
decode,skip,dag,10000,0.001,950,96130
decode,skip,normal,1000,0.002,901,44071
decode,skip,normal,1000,0.002,902,75241
decode,skip,normal,1000,0.002,903,114919
decode,skip,normal,1000,0.002,904,107041
decode,skip,normal,1000,0.002,905,67514
decode,skip,normal,1000,0.002,906,50715
decode,skip,normal,1000,0.002,907,58809
decode,skip,normal,1000,0.002,908,70924
decode,skip,normal,1000,0.002,909,43979
decode,skip,normal,1000,0.002,910,53157
decode,skip,normal,1000,0.002,911,44649
decode,skip,normal,1000,0.002,912,63448
decode,skip,normal,1000,0.002,913,75931
decode,skip,normal,1000,0.002,914,44900
decode,skip,normal,1000,0.002,915,66050
decode,skip,normal,1000,0.002,916,58618
decode,skip,normal,1000,0.002,917,33665
decode,skip,normal,1000,0.002,918,131494
decode,skip,normal,1000,0.002,919,76028
decode,skip,normal,1000,0.002,920,69411
decode,skip,normal,1000,0.002,921,51307
decode,skip,normal,1000,0.002,922,79479
decode,skip,normal,1000,0.002,923,58168
decode,skip,normal,1000,0.002,924,89666
decode,skip,normal,1000,0.002,925,68949
decode,skip,normal,1000,0.002,926,67042
decode,skip,normal,1000,0.002,927,82627
decode,skip,normal,1000,0.002,928,66092
decode,skip,normal,1000,0.002,929,61623
decode,skip,normal,1000,0.002,930,61169
decode,skip,normal,1000,0.002,931,49796
decode,skip,normal,1000,0.002,932,93167
decode,skip,normal,1000,0.002,933,56480
decode,skip,normal,1000,0.002,934,71851
decode,skip,normal,1000,0.002,935,22670
decode,skip,normal,1000,0.002,936,87394
decode,skip,normal,1000,0.002,937,109078
decode,skip,normal,1000,0.002,938,70239
decode,skip,normal,1000,0.002,939,127904
decode,skip,normal,1000,0.002,940,130978
decode,skip,normal,1000,0.002,941,111656
decode,skip,normal,1000,0.002,942,83387
decode,skip,normal,1000,0.002,943,109224
decode,skip,normal,1000,0.002,944,50848
decode,skip,normal,1000,0.002,945,107120
decode,skip,normal,1000,0.002,946,38629
decode,skip,normal,1000,0.002,947,53934
decode,skip,normal,1000,0.002,948,70098
decode,skip,normal,1000,0.002,949,157337
decode,skip,normal,1000,0.002,950,63384
decode,skip,reorder,2000,0.002,901,47767
decode,skip,reorder,2000,0.002,902,28950
decode,skip,reorder,2000,0.002,903,106027
decode,skip,reorder,2000,0.002,904,45757
decode,skip,reorder,2000,0.002,905,54927
decode,skip,reorder,2000,0.002,906,44150
decode,skip,reorder,2000,0.002,907,78851
decode,skip,reorder,2000,0.002,908,59562
decode,skip,reorder,2000,0.002,909,42489
decode,skip,reorder,2000,0.002,910,85861
decode,skip,reorder,2000,0.002,911,102003
decode,skip,reorder,2000,0.002,912,42757
decode,skip,reorder,2000,0.002,913,142150
decode,skip,reorder,2000,0.002,914,25194
decode,skip,reorder,2000,0.002,915,51280
decode,skip,reorder,2000,0.002,916,46945
decode,skip,reorder,2000,0.002,917,66159
decode,skip,reorder,2000,0.002,918,27023
decode,skip,reorder,2000,0.002,919,137836
decode,skip,reorder,2000,0.002,920,37922
decode,skip,reorder,2000,0.002,921,28314
decode,skip,reorder,2000,0.002,922,90838
decode,skip,reorder,2000,0.002,923,106610
decode,skip,reorder,2000,0.002,924,60173
decode,skip,reorder,2000,0.002,925,54291
decode,skip,reorder,2000,0.002,926,190209
decode,skip,reorder,2000,0.002,927,59516
decode,skip,reorder,2000,0.002,928,32292
decode,skip,reorder,2000,0.002,929,54409
decode,skip,reorder,2000,0.002,930,63922
decode,skip,reorder,2000,0.002,931,91983
decode,skip,reorder,2000,0.002,932,72779
decode,skip,reorder,2000,0.002,933,89137
decode,skip,reorder,2000,0.002,934,121970
decode,skip,reorder,2000,0.002,935,116275
decode,skip,reorder,2000,0.002,936,116693
decode,skip,reorder,2000,0.002,937,78106
decode,skip,reorder,2000,0.002,938,46940
decode,skip,reorder,2000,0.002,939,36994
decode,skip,reorder,2000,0.002,940,100610
decode,skip,reorder,2000,0.002,941,48205
decode,skip,reorder,2000,0.002,942,58331
decode,skip,reorder,2000,0.002,943,70070
decode,skip,reorder,2000,0.002,944,98716
decode,skip,reorder,2000,0.002,945,75178
decode,skip,reorder,2000,0.002,946,135106
decode,skip,reorder,2000,0.002,947,146426
decode,skip,reorder,2000,0.002,948,62831
decode,skip,reorder,2000,0.002,949,62876
decode,skip,reorder,2000,0.002,950,51560
encode,accumulate,dag,10000,0.002,901,31595
encode,accumulate,dag,10000,0.002,902,10380
encode,accumulate,dag,10000,0.002,903,17507
encode,accumulate,dag,10000,0.002,904,11529
encode,accumulate,dag,10000,0.002,905,25468
encode,accumulate,dag,10000,0.002,906,40643
encode,accumulate,dag,10000,0.002,907,19131
encode,accumulate,dag,10000,0.002,908,24198
encode,accumulate,dag,10000,0.002,909,13068
encode,accumulate,dag,10000,0.002,910,32679
encode,accumulate,dag,10000,0.002,911,12779
encode,accumulate,dag,10000,0.002,912,27337
encode,accumulate,dag,10000,0.002,913,7415
encode,accumulate,dag,10000,0.002,914,124435
encode,accumulate,dag,10000,0.002,915,29016
encode,accumulate,dag,10000,0.002,916,260674
encode,accumulate,dag,10000,0.002,917,124967
encode,accumulate,dag,10000,0.002,918,12085
encode,accumulate,dag,10000,0.002,919,27280
encode,accumulate,dag,10000,0.002,920,31512
encode,accumulate,dag,10000,0.002,921,85997
encode,accumulate,dag,10000,0.002,922,14252
encode,accumulate,dag,10000,0.002,923,7598
encode,accumulate,dag,10000,0.002,924,65942
encode,accumulate,dag,10000,0.002,925,64461
